University/College,Ratings,Reviews,Source ,clean_review,Fake_Prediction,sentiment_score,Sentiment
GECA,3.6,"there were 10 -15 faculty are in civil department in all of them only 2 faculty were permanent other are temporary .my favourite faculty were sunil patil sir and gambhire sir both are of different kind of person pstil were strict but the best part about him is that he looks everyones not the topper ones .now the gambhire sir very good in teaching like we do not even remember how the time gone . there are 3 exam ISE-1,2 and then viva and last end sem exam .the exams are moderate to difficult.out of 75 students 20-25 were fail.",Collegedunia,faculty civil department faculty permanent temporary favourite faculty sunil patil sir gambhire sir different kind person pstil strict best part looks everyones topper ones gambhire sir good teaching like even remember time gone exam ise viva last end sem exam exams moderate difficultout students fail,Genuine,0.8621,Positive
GIMS Noida,4.1,"The course curriculum is updated every year as per the industry needs. Ai integration as well embeded in the syllabus so we can be industry ready. there is a trimester system, so every trimester is of three months and mid terms happens in approx one to one and a half month.",Collegedunia,course curriculum updated every year per industry needs ai integration well embeded syllabus industry ready trimester system every trimester three months mid terms happens approx one one half month,Genuine,0.5574,Positive
Motilal Nehru Evening College,3.5,"In regard to the relevancy of the course Im quite fond of the subjects such as BL CA AND HRM they give us the better insights for both practical and theoritical knowledge making us ready for the ""real"" world . As For the improvement i feel like there should be some flexibility in GE so that students can choose a sub as per their choice as Hindi is fixed for me which isnt quite suitable for my course and it just drags my CGP down. The frequency if the exam is okay but the timing I feel like its way too fast just after first sem exam we had classes and all test and felt like it went on a spur",Collegedunia,regard relevancy course im quite fond subjects bl ca hrm give us better insights practical theoritical knowledge making us ready real world improvement feel like flexibility ge students choose sub per choice hindi fixed isnt quite suitable course drags cgp frequency exam okay timing feel like way fast first sem exam classes test felt like went spur,Genuine,0.9465,Positive
Narayana Engineering College Nellore,4.8,"Students are eligible for the placements from 3-2 semesters There is special drives for girls Tcs and Amazon ,Google etc 25 highest package and avg placements 13 or 15 75 percentage students were selected Iam trying to get job in college placements",Collegedunia,students eligible placements semesters special drives girls tcs amazon google etc highest package avg placements percentage students selected iam trying get job college placements,Genuine,0.5267,Positive
SRK Institute of Technology Vijayawada,5.0,The faculty-to-student ratio is something like 1:10 but the faculty are much educated and well deserved to be the best teacher. They always try hard to gain experience and clear the doubts of the students who are going to have questions. Some names of the faculty as best to mention are : 1. Radhika Mam(HoD) 2. Chaitanya Mam 3. Pavani Mam 4. Srinivas Sir There are many more who can be in this list but can't mention all the names here. The faculty do approach very quick to the students and do solve the doubts if they have one,Collegedunia,facultytostudent ratio something like faculty much educated well deserved best teacher always try hard gain experience clear doubts students going questions names faculty best mention radhika mamhod chaitanya mam pavani mam srinivas sir many list cant mention names faculty approach quick students solve doubts one,Genuine,0.9682,Positive
Sathyabama Institute of Science and Technology,4.0,"faculty are very friendly and experienced coming to exam system will having two types of exams. One is mid exams also called as CAE exams and other one semester exams in every semester will have one annoying subject called open book exam for open book exam. I don't know why it is even exist. Also, whatever you write they wont give you marks they will only give you pass marks so it is pretty much annoying even professional Can't get the more then pass. They didn't even read what you writing. They just give marks number of pages you wrote in that particular open book exam for remaining exams. It is very easy and everything will come from what we have discussed in the class only so we can enjoy the exam except for open book.",Collegedunia,faculty friendly experienced coming exam system two types exams one mid exams also called cae exams one semester exams every semester one annoying subject called open book exam open book exam dont know even exist also whatever write wont give marks give pass marks pretty much annoying even professional cant get pass didnt even read writing give marks number pages wrote particular open book exam remaining exams easy everything come discussed class enjoy exam except open book,Genuine,0.8595,Positive
Lords Institute of Management Surat,4.7,"The faculty-to-student ratio in the institute is generally balanced, which helps students receive proper attention during lectures and practical sessions. Faculties maintain a good relationship with students and are mostly approachable. Students can easily ask questions after class or during doubt-clearing sessions, and many teachers are supportive when it comes to academic guidance and project work. Some of the faculties I liked include Mr. Patel and Ms. Shah because they explain topics clearly and use practical examples to make the subject easy to understand. They also encourage students to participate in discussions and are always ready to solve doubts. In my opinion, these teachers are among the best faculties because of their teaching style, patience, and dedication towards studentsâ learning. However, there are a few faculties whose teaching style is not very engaging. For example, Mr. Akshay sometimes teaches very fast and does not always explain concepts in detail, which can make it difficult for some students to understand the topic fully. In terms of evaluation, the institute usually conducts internal tests, assignments, and final examinations each semester. The exams are moderately difficult. Students who study regularly and attend classes can pass easily, but those who do not prepare well may find them challenging. The course curriculum is relevant and designed to provide both theoretical knowledge and practical skills useful for future careers.",Collegedunia,facultytostudent ratio institute generally balanced helps students receive proper attention lectures practical sessions faculties maintain good relationship students mostly approachable students easily ask questions class doubtclearing sessions many teachers supportive comes academic guidance project work faculties liked include mr patel ms shah explain topics clearly use practical examples make subject easy understand also encourage students participate discussions always ready solve doubts opinion teachers among best faculties teaching style patience dedication towards studentsâ learning however faculties whose teaching style engaging example mr akshay sometimes teaches fast always explain concepts detail make difficult students understand topic fully terms evaluation institute usually conducts internal tests assignments final examinations semester exams moderately difficult students study regularly attend classes pass easily prepare well may find challenging course curriculum relevant designed provide theoretical knowledge practical skills useful future careers,Genuine,0.9343,Positive
Calicut University,2.8,the annual fest and seasonal fests are occured in campus with high energetic usually annual fest are occured in march seasoanal fest are in there specfic date .telling about library there is mix of core books and textbooks. some classes are tech provisions but some are not. saying about sports our campus should offers mix of outdoors also indoors,Collegedunia,annual fest seasonal fests occured campus high energetic usually annual fest occured march seasoanal fest specfic date telling library mix core books textbooks classes tech provisions saying sports campus offers mix outdoors also indoors,Genuine,0.2382,Positive
SASTRA,4.0,"After 6th semester we are eligible for placements and internships are after 5th semester from companies like cognizant, vipro, amazon,intel etc highest package is 4100000 and average is 750000 95 percent of student will get campus placements",Collegedunia,th semester eligible placements internships th semester companies like cognizant vipro amazonintel etc highest package average percent student get campus placements,Genuine,0.3612,Positive
Lords Institute of Management Surat,5.0,Pacific express in the bakery eggless cake influence decision the course curriculum prepare real world experience for the academy Ahmedabad skill India digital competition Area of improvement nothing all is very smart Very intelligent courses front office food and beverage eating method is from projector frequency of timing exam is very much like by students,Collegedunia,pacific express bakery eggless cake influence decision course curriculum prepare real world experience academy ahmedabad skill india digital competition area improvement nothing smart intelligent courses front office food beverage eating method projector frequency timing exam much like students,Genuine,0.9067,Positive
