University/College,Ratings,Reviews,Source 
GECA,"3.6
/5","there were 10 -15 faculty are in civil department in all of them only 2 faculty were permanent other are temporary .my favourite faculty were sunil patil sir and gambhire sir both are of different kind of person pstil were strict but the best part about him is that he looks everyones not the topper ones .now the gambhire sir very good in teaching like we do not even remember how the time gone . there are 3 exam ISE-1,2 and then viva and last end sem exam .the exams are moderate to difficult.out of 75 students 20-25 were fail.",Collegedunia
GIMS Noida,"4.1
/5","The course curriculum is updated every year as per the industry needs. Ai integration as well embeded in the syllabus so we can be industry ready. there is a trimester system, so every trimester is of three months and mid terms happens in approx one to one and a half month.",Collegedunia
Motilal Nehru Evening College,"3.5
/5","In regard to the relevancy of the course Im quite fond of the subjects such as BL CA AND HRM they give us the better insights for both practical and theoritical knowledge making us ready for the ""real"" world . As For the improvement i feel like there should be some flexibility in GE so that students can choose a sub as per their choice as Hindi is fixed for me which isnt quite suitable for my course and it just drags my CGP down. The frequency if the exam is okay but the timing I feel like its way too fast just after first sem exam we had classes and all test and felt like it went on a spur",Collegedunia
Narayana Engineering College Nellore,"4.8
/5","Students are eligible for the placements from 3-2 semesters There is special drives for girls Tcs and Amazon ,Google etc 25 highest package and avg placements 13 or 15 75 percentage students were selected Iam trying to get job in college placements",Collegedunia
SRK Institute of Technology Vijayawada,"5.0
/5",The faculty-to-student ratio is something like 1:10 but the faculty are much educated and well deserved to be the best teacher. They always try hard to gain experience and clear the doubts of the students who are going to have questions. Some names of the faculty as best to mention are : 1. Radhika Mam(HoD) 2. Chaitanya Mam 3. Pavani Mam 4. Srinivas Sir There are many more who can be in this list but can't mention all the names here. The faculty do approach very quick to the students and do solve the doubts if they have one,Collegedunia
Sathyabama Institute of Science and Technology,"4.0
/5","faculty are very friendly and experienced coming to exam system will having two types of exams. One is mid exams also called as CAE exams and other one semester exams in every semester will have one annoying subject called open book exam for open book exam. I don't know why it is even exist. Also, whatever you write they wont give you marks they will only give you pass marks so it is pretty much annoying even professional Can't get the more then pass. They didn't even read what you writing. They just give marks number of pages you wrote in that particular open book exam for remaining exams. It is very easy and everything will come from what we have discussed in the class only so we can enjoy the exam except for open book.",Collegedunia
Lords Institute of Management Surat,"4.7
/5","The faculty-to-student ratio in the institute is generally balanced, which helps students receive proper attention during lectures and practical sessions. Faculties maintain a good relationship with students and are mostly approachable. Students can easily ask questions after class or during doubt-clearing sessions, and many teachers are supportive when it comes to academic guidance and project work. Some of the faculties I liked include Mr. Patel and Ms. Shah because they explain topics clearly and use practical examples to make the subject easy to understand. They also encourage students to participate in discussions and are always ready to solve doubts. In my opinion, these teachers are among the best faculties because of their teaching style, patience, and dedication towards students’ learning. However, there are a few faculties whose teaching style is not very engaging. For example, Mr. Akshay sometimes teaches very fast and does not always explain concepts in detail, which can make it difficult for some students to understand the topic fully. In terms of evaluation, the institute usually conducts internal tests, assignments, and final examinations each semester. The exams are moderately difficult. Students who study regularly and attend classes can pass easily, but those who do not prepare well may find them challenging. The course curriculum is relevant and designed to provide both theoretical knowledge and practical skills useful for future careers.",Collegedunia
Calicut University,"2.8
/5",the annual fest and seasonal fests are occured in campus with high energetic usually annual fest are occured in march seasoanal fest are in there specfic date .telling about library there is mix of core books and textbooks. some classes are tech provisions but some are not. saying about sports our campus should offers mix of outdoors also indoors,Collegedunia
SASTRA,"4.0
/5","After 6th semester we are eligible for placements and internships are after 5th semester from companies like cognizant, vipro, amazon,intel etc highest package is 4100000 and average is 750000 95 percent of student will get campus placements",Collegedunia
Lords Institute of Management Surat,"5.0
/5",Pacific express in the bakery eggless cake influence decision the course curriculum prepare real world experience for the academy Ahmedabad skill India digital competition Area of improvement nothing all is very smart Very intelligent courses front office food and beverage eating method is from projector frequency of timing exam is very much like by students,Collegedunia
Jyothi Engineering College Cheruthuruthy Thrissur,"5.0
/5","faculty members are generally qualified and supportive and most of them are approacheble when students need help with academic doubts. the faculty to student ratio is decent, which allows teachers to give attention to students during classes.some professors explain concepts clearly and also guids students with assignments and projects.however , a few faculty members rely more on traditional teaching methods. the course structure is fairly organized and covers the core fundamentals of the subject. exams are conducted through internal assessments,assignments and semster end exam.the difficulty level of exams is moderate,and students who attend classes regularly and prepare well usually pass without much difficulty.the curriculum is relevant but could be updated more frequently to match current industry requirements.",Collegedunia
CCSU,"4.9
/5","My overall experience at this college is the best. It shaped my future, made me confident, and helped me with my basic skills. The library of my college is good, it has more than 30,000 books. It also has a digital library, an audio class, and a language lab. In the lab, it has more than 100 PCs. Student life here is very awful. I enjoy being here; every classes are interesting and helpful. Our college has a commerce society that organises events every week to boost our skills. Recently, they have been organising vyparniti 2.o overall i am enjoying being here.",Collegedunia
Motilal Nehru Evening College,"3.6
/5","Many fests and events are conducted throughout the year in my college starting with AAROH which is the freshers event of our college and fest of our college called MILAAN is also super fun to experience. There are societies that also conducts events like 180 Degrees Consulting conducts competitions like MOCKSTOCK and CASE COMPETITIONS which are very fun to participate in. My college has one of the best football team in Delhi University, mlnce also has basketball, cricket, volleyball, kabbadi and badminton too. Social life is also very nice in my college everyone is really nice to each other.",Collegedunia
NBKRIST,"5.0
/5","we had good rapo with the faculty so that we used to communicate with the faculty without hesitation, and we had enough faculty to clear everyone doubts, the facuty to nstudent ratio is 20:1, we have professors and associate professors.",Collegedunia
Durgapur Society of Management Science,"1.6
/5","Unlike engineering, which spends the first year on general sciences (Physics/Chemistry), BCA dives into C Programming and Web Technologies in Semester 1. They rely on chalk and talk for coding. A shift toward Peer-Programming and Hackathon-style assessments would better mirror the collaborative nature of the IT industry",Collegedunia
Motilal Nehru Evening College,"4.4
/5",my parents paid sum about 13k by general category there may be some changes of my batchmates for their categories other than mine but according to the cut off and allotted college everybody is paying equal amount accordingly for their specific courses,Collegedunia
Delhi Metropolitan Education Noida,"3.9
/5","The social interaction so far has been quite positive and about the club involvements there are varioua culutural clubs in the college and they together organize a cultural fest every year which helps student to develop not only in academics but also the overall development as well, the infrastructre includes smart class rooms equipped with smart boards and projectors and for law students a sperate Moot Court Hall is there where the real cour environment is enacted through moot court competitions",Collegedunia
Narayana Engineering College Nellore,"5.0
/5","In narayana engineering college nellore, thet provide better security among other colleges, here we have lot of departments as well as many clubs for the students. It is mandatory student to participate in cultural events so that students can freely talk to others so that stage fear may reduces.",Collegedunia
RNSIT,"5.0
/5","Students become eligible for placements from the 4th year as placement training occurs in 3rd year(6th semester). There are multiple companies like Infosys, Oracle, ABC, HP, Adobe and many other companies that visit our college for placements. The highest package was 56 LPA and the placement percentage is about 80 to 95% so there is a strong chance of placement in RNSIT.",Collegedunia
VIT Pune,"4.3
/5","Each class is devided into 3 sections of approximately 20 to 25 students and each section has there own lead faculty which takes care of all the major projects of that sections in that semester. The 4 course projects for the perticular sem has 4 faculty that takes care of that. There are vivas, course projects, presentations and written exam all have the same approximate weight when marking for the semester's final SGPA.",Collegedunia
GIMS Noida,"5.0
/5",The overall experience is that I enjoy both out side the life and inside the campus life because as a student only study is not at all there is a life outside the campus which is very enjoyable. I will suggest you to choose this college for your Course . There infrastructure is very good as of other colleges I visit. The course have many club which give you experience about leadership quality improves,Collegedunia
IGNOU,"2.4
/5","I choose BCOM because the want to take ACCA after BCOM it will helps to improve my career and give a better job and also BCOM is the basices of ACCA like law, financial managment, taxation etc .The curriculam provide strong fountation for students who wamts to pursue higher studies such as M.COM , MBA and professuonal couses. BCOM helps to understanding real world bussiness practices , accounting sytem etc . on;ine study material recordimg leture and assigments also make flexible for students to study their own pace. exams are usually conducted semister wise the difficulty level 0of exam are moderate if students were attend the class regulary and prepare well",Collegedunia
Motilal Nehru Evening College,"4.2
/5","Name of annual event is Astir it is a cultural event typically held in April mid or 1st week, there are many books in the library which you will need more than enough, Classrooms have projectors and library has opaq system for navigation Our college is renowned for sports and Acheivements there are several NGOs run by the students",Collegedunia
MUHS,"4.0
/5","I paid 69000 as tution fees. The MBBS First Year Fee Structure for the academic year 2024–2025 at Government Medical College, Chandrapur is as follows. For open category students, the annual tuition fee is ?1,38,300. In addition to this, there are other charges such as admission fee ?1,500, development fee ?5,000, university fee about ?1,000, laboratory deposit ?3,000, library deposit ?3,000, gymkhana fee ?500, and disaster management fund ?10. The main amount of ?1,38,300 is to be paid through a demand draft in favour of “The Dean, Government Medical College, Chandrapur.” A separate demand draft of ?1,500 is required in favour of “The Dean, GMCC Student Council A/C, Chandrapur.” For reserved category students (SC, ST, VJ, NT, OBC, EWS, SBC, and EBC), the tuition fee is waived, and they need to pay only ?15,840 as other institutional fees along with ?1,500 as the student council fee. The amount of ?15,840 should be paid through a demand draft in favour of “The Dean, Government Medical College, Chandrapur,” while ?1,500 should be paid through a separate demand draft in favour of “The Dean, GMCC Student Council A/C, Chandrapur.” If a student is allotted a hostel, additional charges such as hostel fee ?300 and hostel deposit ?300 are required, which must be paid separately after hostel allotment. I availed scholarship of 50% of tution fee. It is Maha dbt scholarship for students of maharashtra.",Collegedunia
RNSIT,"4.1
/5",Infrastructure is really good. The college campus is big and filled with greenery. We have well equipped classrooms and Laboratories. The library is big and has all the books needed throughout the course. The college has various technical and non -technical clubs that encourage students to take part in various activities. There are multiple cultural and technical fests conduccted as well that improve student interaction and the whole experience in college.,Collegedunia
IMSEC,"5.0
/5","my overall experience with campus life at IMS ENGINEERING COLLEGE, Ghaziabad has been quite positive.The college provide a balanced environment where students can focus on academics while also participating in extracurricular activities, social events, and technical clubs.",Collegedunia
SASTRA,"4.2
/5",the faculty to student ratio is very good as there are more sticked academic support and liked our first year maths kannan sir very much and i think he is the best for me we have three CIA that are in other term MiD Exams in which they consider top 2 for internals and there will be an end semester exam which is very difficult and tough,Collegedunia
Thakur Specialized Degree College Mumbai,"3.4
/5",Faculty ratio is less than students. Some faculties have good relationship with student and some dont. Sahil sir is the best faculty he helps students a lot in everything and also makes everything fun makes students do work on real life projects.,Collegedunia
Motilal Nehru Evening College,"3.7
/5","The faculty to student ratio in the college is around 1:55 appx which is not so bad . The faculty is highly educated and are masters in their own field which gains our confidence in them . First year business law/company law professor Ms. Bhawna rajput and BOM/HRM professor Ms. Somwati are the best in my opinion as they are very patient in the class , teach good and also are flexible with the deadlines which is very helpful to students. There are two times that we have to give exams in one year and both are end sems one in dec-jan and second in may-june. While some students might fail in one or two subject around 90% or more pass their exams successfully. The only drawback with the faculty is that they cancel the classes at last moments sometimes or do not take classes sometimes.",Collegedunia
